Date,Route,Attempted,Succeeded,Success Percentage
11/27/15,Disappointment Cleaver,2,0,0
11/21/15,Disappointment Cleaver,3,0,0
10/15/15,Disappointment Cleaver,2,0,0
10/13/15,Little Tahoma,8,0,0
10/9/15,Disappointment Cleaver,2,0,0
10/3/15,Disappointment Cleaver,10,0,0
10/3/15,Disappointment Cleaver,2,0,0
10/2/15,Kautz Glacier,2,0,0
10/2/15,Disappointment Cleaver,2,0,0
9/30/15,Disappointment Cleaver,2,0,0
9/28/15,Disappointment Cleaver,12,4,0.333333333
9/27/15,Disappointment Cleaver,12,6,0.5
9/26/15,Disappointment Cleaver,2,0,0
9/26/15,Disappointment Cleaver,12,3,0.25
9/26/15,Disappointment Cleaver,3,0,0
9/25/15,Disappointment Cleaver,12,9,0.75
9/25/15,Disappointment Cleaver,11,6,0.545454545
9/24/15,Disappointment Cleaver,10,0,0
9/24/15,Disappointment Cleaver,11,1,0.090909091
9/23/15,Disappointment Cleaver,12,0,0
9/22/15,Disappointment Cleaver,3,0,0
9/21/15,Disappointment Cleaver,2,0,0
9/21/15,Disappointment Cleaver,2,0,0
9/21/15,Disappointment Cleaver,11,0,0
9/21/15,Disappointment Cleaver,8,0,0
9/21/15,Disappointment Cleaver,10,9,0.9
9/20/15,Disappointment Cleaver,3,0,0
9/20/15,Disappointment Cleaver,12,7,0.583333333
9/20/15,Disappointment Cleaver,12,0,0
9/20/15,Disappointment Cleaver,11,0,0
9/19/15,Disappointment Cleaver,12,0,0
9/19/15,Disappointment Cleaver,2,0,0
9/19/15,Disappointment Cleaver,12,0,0
9/19/15,Disappointment Cleaver,11,0,0
9/18/15,Disappointment Cleaver,12,0,0
9/18/15,Disappointment Cleaver,11,0,0
9/18/15,Disappointment Cleaver,12,0,0
9/18/15,Disappointment Cleaver,2,0,0
9/18/15,Disappointment Cleaver,2,0,0
9/17/15,Disappointment Cleaver,12,0,0
9/16/15,Disappointment Cleaver,12,0,0
9/15/15,Disappointment Cleaver,9,0,0
9/14/15,Disappointment Cleaver,8,7,0.875
9/14/15,Disappointment Cleaver,12,12,1
9/14/15,Disappointment Cleaver,2,2,1
9/14/15,Disappointment Cleaver,3,3,1
9/14/15,Disappointment Cleaver,2,2,1
9/13/15,Disappointment Cleaver,2,0,0
9/13/15,Disappointment Cleaver,12,0,0
9/13/15,Disappointment Cleaver,12,0,0
9/13/15,Disappointment Cleaver,11,0,0
9/12/15,Disappointment Cleaver,2,0,0
9/12/15,Disappointment Cleaver,11,0,0
9/12/15,Disappointment Cleaver,11,0,0
9/12/15,Disappointment Cleaver,2,0,0
9/12/15,Disappointment Cleaver,2,0,0
9/12/15,Disappointment Cleaver,2,2,1
9/12/15,Disappointment Cleaver,1,0,0
9/12/15,Disappointment Cleaver,12,11,0.916666667
9/11/15,Disappointment Cleaver,3,0,0
9/11/15,Disappointment Cleaver,12,4,0.333333333
9/11/15,Disappointment Cleaver,12,4,0.333333333
9/11/15,Disappointment Cleaver,12,0,0
9/11/15,Disappointment Cleaver,1,0,0
9/11/15,Disappointment Cleaver,4,0,0
9/11/15,Disappointment Cleaver,6,0,0
9/11/15,Disappointment Cleaver,2,2,1
9/11/15,Disappointment Cleaver,2,0,0
9/10/15,Disappointment Cleaver,12,0,0
9/10/15,Disappointment Cleaver,2,2,1
9/9/15,Disappointment Cleaver,2,2,1
9/9/15,Disappointment Cleaver,2,0,0
9/9/15,Disappointment Cleaver,12,10,0.833333333
9/8/15,Disappointment Cleaver,2,0,0
9/7/15,Disappointment Cleaver,2,0,0
9/7/15,Disappointment Cleaver,3,0,0
9/7/15,Disappointment Cleaver,12,5,0.416666667
9/7/15,Disappointment Cleaver,8,4,0.5
9/7/15,Disappointment Cleaver,11,0,0
9/7/15,Disappointment Cleaver,11,9,0.818181818
9/6/15,Disappointment Cleaver,12,0,0
9/6/15,Disappointment Cleaver,11,0,0
9/6/15,Disappointment Cleaver,12,0,0
9/5/15,Disappointment Cleaver,3,0,0
9/5/15,Emmons-Winthrop,5,0,0
9/5/15,Disappointment Cleaver,2,0,0
9/5/15,Disappointment Cleaver,3,0,0
9/5/15,Disappointment Cleaver,12,0,0
9/5/15,Disappointment Cleaver,2,0,0
9/5/15,Disappointment Cleaver,4,0,0
9/5/15,Disappointment Cleaver,12,0,0
9/5/15,Disappointment Cleaver,11,0,0
9/5/15,Disappointment Cleaver,2,0,0
9/4/15,Disappointment Cleaver,3,0,0
9/4/15,Disappointment Cleaver,12,0,0
9/4/15,Disappointment Cleaver,12,0,0
9/4/15,Disappointment Cleaver,12,0,0
9/4/15,Disappointment Cleaver,2,0,0
9/4/15,Disappointment Cleaver,2,0,0
9/3/15,Disappointment Cleaver,2,0,0
9/3/15,Disappointment Cleaver,3,0,0
9/3/15,Disappointment Cleaver,11,0,0
9/3/15,Disappointment Cleaver,11,0,0
9/3/15,Disappointment Cleaver,12,0,0
9/2/15,Disappointment Cleaver,8,0,0
9/2/15,Disappointment Cleaver,12,0,0
9/2/15,Disappointment Cleaver,12,0,0
9/1/15,Disappointment Cleaver,12,0,0
9/1/15,Disappointment Cleaver,10,0,0
9/1/15,Disappointment Cleaver,12,0,0
9/1/15,Disappointment Cleaver,12,0,0
8/31/15,Disappointment Cleaver,12,0,0
8/31/15,Disappointment Cleaver,12,0,0
8/31/15,Disappointment Cleaver,12,0,0
8/30/15,Disappointment Cleaver,12,0,0
8/30/15,Disappointment Cleaver,12,0,0
8/30/15,Disappointment Cleaver,12,0,0
8/29/15,Disappointment Cleaver,12,0,0
8/29/15,Disappointment Cleaver,11,0,0
8/28/15,Disappointment Cleaver,11,0,0
8/28/15,Disappointment Cleaver,11,0,0
8/28/15,Disappointment Cleaver,3,0,0
8/27/15,Disappointment Cleaver,12,0,0
8/27/15,Disappointment Cleaver,12,0,0
8/27/15,Disappointment Cleaver,10,0,0
8/26/15,Disappointment Cleaver,12,7,0.583333333
8/26/15,Disappointment Cleaver,3,3,1
8/26/15,Disappointment Cleaver,2,2,1
8/26/15,Disappointment Cleaver,6,6,1
8/26/15,Disappointment Cleaver,9,3,0.333333333
8/26/15,Disappointment Cleaver,9,5,0.555555556
8/26/15,Disappointment Cleaver,12,0,0
8/26/15,Emmons-Winthrop,2,1,0.5
8/26/15,Disappointment Cleaver,3,4,1.333333333
8/26/15,Disappointment Cleaver,2,2,1
8/26/15,Disappointment Cleaver,12,0,0
8/26/15,Disappointment Cleaver,2,0,0
8/25/15,Disappointment Cleaver,2,2,1
8/25/15,Disappointment Cleaver,6,0,0
8/25/15,Disappointment Cleaver,12,4,0.333333333
8/25/15,Disappointment Cleaver,12,7,0.583333333
8/24/15,Disappointment Cleaver,2,2,1
8/24/15,Disappointment Cleaver,10,7,0.7
8/24/15,Disappointment Cleaver,11,9,0.818181818
8/24/15,Disappointment Cleaver,3,3,1
8/24/15,Disappointment Cleaver,12,9,0.75
8/23/15,Disappointment Cleaver,5,0,0
8/23/15,Disappointment Cleaver,12,9,0.75
8/23/15,Disappointment Cleaver,12,4,0.333333333
8/23/15,Disappointment Cleaver,6,4,0.666666667
8/23/15,Disappointment Cleaver,4,4,1
8/23/15,Disappointment Cleaver,2,2,1
8/22/15,Disappointment Cleaver,4,4,1
8/22/15,Disappointment Cleaver,2,0,0
8/22/15,Disappointment Cleaver,2,0,0
8/22/15,Kautz Glacier,3,0,0
8/22/15,Disappointment Cleaver,4,4,1
8/22/15,Disappointment Cleaver,1,0,0
8/22/15,Disappointment Cleaver,3,3,1
8/22/15,Disappointment Cleaver,2,0,0
8/22/15,Disappointment Cleaver,4,4,1
8/22/15,Disappointment Cleaver,2,2,1
8/22/15,Emmons-Winthrop,4,0,0
8/22/15,Disappointment Cleaver,2,2,1
8/22/15,Disappointment Cleaver,12,0,0
8/22/15,Disappointment Cleaver,9,7,0.777777778
8/22/15,Disappointment Cleaver,9,7,0.777777778
8/22/15,Disappointment Cleaver,3,3,1
8/22/15,Disappointment Cleaver,3,2,0.666666667
8/22/15,Disappointment Cleaver,3,0,0
8/22/15,Disappointment Cleaver,1,1,1
8/22/15,Disappointment Cleaver,2,2,1
8/22/15,Disappointment Cleaver,12,0,0
8/22/15,Disappointment Cleaver,2,2,1
8/22/15,Disappointment Cleaver,2,0,0
8/21/15,Disappointment Cleaver,2,2,1
8/21/15,Emmons-Winthrop,5,0,0
8/21/15,Kautz Glacier,4,4,1
8/21/15,Emmons-Winthrop,4,4,1
8/21/15,Disappointment Cleaver,2,0,0
8/21/15,Disappointment Cleaver,12,2,0.166666667
8/21/15,Disappointment Cleaver,11,7,0.636363636
8/21/15,Disappointment Cleaver,4,0,0
8/21/15,Disappointment Cleaver,2,2,1
8/21/15,Disappointment Cleaver,2,0,0
8/21/15,Disappointment Cleaver,4,3,0.75
8/21/15,Disappointment Cleaver,2,2,1
8/21/15,Disappointment Cleaver,7,7,1
8/21/15,Disappointment Cleaver,4,4,1
8/21/15,Disappointment Cleaver,4,4,1
8/21/15,Disappointment Cleaver,2,0,0
8/21/15,Disappointment Cleaver,1,2,2
8/20/15,Disappointment Cleaver,5,0,0
8/20/15,Disappointment Cleaver,6,6,1
8/20/15,Disappointment Cleaver,2,2,1
8/20/15,Disappointment Cleaver,2,0,0
8/20/15,Disappointment Cleaver,11,6,0.545454545
8/20/15,Disappointment Cleaver,12,9,0.75
8/20/15,Disappointment Cleaver,2,0,0
8/20/15,Disappointment Cleaver,12,11,0.916666667
8/19/15,Disappointment Cleaver,2,0,0
8/19/15,glacier only - no summit attempt,2,2,1
8/19/15,Disappointment Cleaver,12,5,0.416666667
8/19/15,Disappointment Cleaver,11,4,0.363636364
8/19/15,Disappointment Cleaver,3,3,1
8/19/15,Emmons-Winthrop,2,0,0
8/18/15,Disappointment Cleaver,2,0,0
8/18/15,Disappointment Cleaver,12,7,0.583333333
8/18/15,Disappointment Cleaver,12,10,0.833333333
8/18/15,Disappointment Cleaver,12,7,0.583333333
8/18/15,Emmons-Winthrop,11,0,0
8/18/15,Disappointment Cleaver,12,0,0
8/18/15,Disappointment Cleaver,5,4,0.8
8/17/15,Kautz Glacier,2,2,1
8/17/15,Disappointment Cleaver,1,0,0
8/17/15,Disappointment Cleaver,2,2,1
8/17/15,Disappointment Cleaver,12,0,0
8/17/15,Disappointment Cleaver,12,5,0.416666667
8/17/15,Disappointment Cleaver,3,0,0
8/17/15,Disappointment Cleaver,12,6,0.5
8/17/15,Disappointment Cleaver,12,4,0.333333333
8/17/15,Disappointment Cleaver,3,0,0
